House,Date,Con,Lab,LD,UKIP
Populus/Times, 2011-07-17,34,39,11,
ICM/Guardian, 2011-07-17,37,36,16,
YouGov/Sunday Times, 2011-07-15,36,42,11,
ComRes/Independent on Sunday (O), 2011-07-14,36,40,10,
YouGov/Sun, 2011-07-14,36,43,9,
YouGov/Sun, 2011-07-13,35,43,10,
YouGov/Sun, 2011-07-12,37,42,9,
YouGov/Sun, 2011-07-11,35,43,10,
YouGov/Sunday Times, 2011-07-08,35,44,8,
YouGov/Sun, 2011-07-07,37,43,8,
YouGov/Sun, 2011-07-06,35,43,9,
YouGov/Sun, 2011-07-05,35,43,10,
YouGov/Sun, 2011-07-04,37,43,9,
YouGov/Sunday Times, 2011-07-01,36,42,9,
YouGov/Sun, 2011-06-30,37,42,8,
YouGov/Sun, 2011-06-29,37,41,10,
YouGov/Sun, 2011-06-28,36,43,8,
YouGov/Sun, 2011-06-27,37,42,10,
ComRes/Independent, 2011-06-26,36,40,11,
YouGov/Sunday Times, 2011-06-24,36,43,9,
YouGov/Sun, 2011-06-23,37,42,9,
YouGov/Sun, 2011-06-22,36,42,9,
YouGov/Sun, 2011-06-21,37,42,8,
YouGov/Sun, 2011-06-20,37,43,9,
Ipsos-MORI/Reuters, 2011-06-19,37,39,11,
ICM/Guardian, 2011-06-19,37,39,12,
YouGov/Sunday Times, 2011-06-17,37,42,10,
ComRes/Independent on Sunday (O), 2011-06-16,37,37,11,
YouGov/Sun, 2011-06-16,37,43,9,
YouGov/Sun, 2011-06-15,36,42,9,
YouGov/Sun, 2011-06-14,37,42,10,
YouGov/Sun, 2011-06-13,37,42,10,
Populus/Times, 2011-06-12,39,40,9,
YouGov/Sunday Times, 2011-06-10,37,42,9,
YouGov/Sun, 2011-06-09,37,43,8,
YouGov/Sun, 2011-06-08,37,42,9,
YouGov/Sun, 2011-06-07,36,44,8,
YouGov/Sun, 2011-06-06,37,43,9,
YouGov/Sunday Times, 2011-06-03,37,42,9,
YouGov/Sun, 2011-06-02,36,42,9,
YouGov/Sun, 2011-06-01,39,41,9,
YouGov/Sun, 2011-05-31,37,42,9,
ComRes/Independent, 2011-05-29,37,37,12,
YouGov/Sunday Times, 2011-05-27,37,43,9,
YouGov/Sun, 2011-05-26,37,43,8,
YouGov/Sun, 2011-05-25,37,41,10,
Ipsos-MORI/Reuters, 2011-05-24,35,42,10,
YouGov/Sun, 2011-05-24,38,42,9,
YouGov/Sun, 2011-05-23,38,42,10,
YouGov/Sunday Times, 2011-05-20,37,42,8,
YouGov/Sun, 2011-05-19,38,40,10,
YouGov/Sun, 2011-05-18,36,42,9,
YouGov/Sun, 2011-05-17,39,41,9,
YouGov/Sun, 2011-05-16,38,41,10,
ComRes/Independent on Sunday (O), 2011-05-15,38,39,11,
YouGov/Sunday Times, 2011-05-13,36,41,9,
YouGov/Sun, 2011-05-12,39,41,9,
YouGov/Sun, 2011-05-11,36,42,8,
YouGov/Sun, 2011-05-10,38,40,9,
YouGov/Sun, 2011-05-09,38,42,8,
Opinium/, 2011-05-09,35,38,9,
Populus/Times, 2011-05-08,37,39,11,
YouGov/Sunday Times, 2011-05-06,36,41,10,
YouGov/Sun, 2011-05-05,37,39,10,
YouGov/Sun, 2011-05-04,36,40,11,
ICM/Guardian, 2011-05-03,36,37,15,
YouGov/Sun, 2011-05-03,37,42,10,
Opinium/, 2011-05-02,35,37,11,
ComRes/Independent, 2011-05-01,34,37,15,
YouGov/Sunday Times, 2011-04-29,36,41,10,
YouGov/Sun, 2011-04-28,36,41,12,
YouGov/Sun, 2011-04-27,36,42,10,
YouGov/Sun, 2011-04-26,36,41,10,
YouGov/Sun, 2011-04-21,36,42,10,
YouGov/Sun, 2011-04-20,36,43,9,
YouGov/Sun, 2011-04-19,36,43,9,
YouGov/Sun, 2011-04-18,36,42,9,
Ipsos-MORI/Reuters, 2011-04-17,40,40,9,
ICM/Guardian, 2011-04-17,35,37,15,
ComRes/Independent on Sunday (O), 2011-04-15,35,39,10,
YouGov/Sunday Times, 2011-04-15,37,41,9,
YouGov/Sun, 2011-04-14,36,42,10,
YouGov/Sun, 2011-04-13,35,44,10,
YouGov/Sun, 2011-04-12,37,42,9,
YouGov/Sun, 2011-04-11,36,42,10,
Populus/Times, 2011-04-10,36,40,11,
Angus Reid/, 2011-04-10,31,42,11,
YouGov/Sunday Times, 2011-04-08,36,43,9,
YouGov/Sun, 2011-04-07,35,44,10,
YouGov/Sun, 2011-04-06,36,42,10,
YouGov/Sun, 2011-04-05,37,42,9,
YouGov/Sun, 2011-04-04,37,42,9,
YouGov/Sunday Times, 2011-04-01,36,42,11,
YouGov/Sun, 2011-03-31,35,42,10,
YouGov/Sun, 2011-03-30,35,45,9,
YouGov/Sun, 2011-03-29,36,42,10,
Opinium/, 2011-03-28,34,37,11,
YouGov/Sun, 2011-03-28,38,44,9,
ComRes/Independent, 2011-03-27,35,41,13,
Opinium/, 2011-03-25,36,36,11,
YouGov/Sunday Times, 2011-03-25,38,41,11,
ICM/Guardian, 2011-03-24,37,36,16,
YouGov/Sun, 2011-03-24,37,41,11,
YouGov/Sun, 2011-03-23,36,42,10,
YouGov/Sun, 2011-03-22,35,42,9,
Opinium/, 2011-03-21,36,36,11,
YouGov/Sun, 2011-03-21,36,43,9,
Angus Reid/, 2011-03-21,32,41,10,
YouGov/Sunday Times, 2011-03-18,37,43,9,
Opinium/, 2011-03-17,35,39,11,
YouGov/Sun, 2011-03-17,35,43,10,
YouGov/Sun, 2011-03-16,35,43,10,
YouGov/Sun, 2011-03-15,35,45,9,
YouGov/Sun, 2011-03-14,35,44,9,
Ipsos-MORI/Reuters, 2011-03-13,37,41,10,
YouGov/Sunday Times, 2011-03-11,33,44,10,
ComRes/Independent on Sunday (O), 2011-03-10,37,40,11,
YouGov/Sun, 2011-03-10,34,45,9,
YouGov/Sun, 2011-03-09,36,42,9,
YouGov/Sun, 2011-03-08,36,44,10,
Opinium/, 2011-03-07,36,39,9,
YouGov/Sun, 2011-03-07,36,42,9,
Populus/Times, 2011-03-06,35,41,11,
YouGov/Sunday Times, 2011-03-04,35,43,10,
Angus Reid/, 2011-03-04,33,41,10,
YouGov/Sun, 2011-03-03,36,42,10,
YouGov/Sun, 2011-03-02,36,41,11,
YouGov/Sun, 2011-03-01,34,43,11,
YouGov/Sun, 2011-02-28,36,43,10,
ComRes/Independent, 2011-02-27,35,39,12,
YouGov/Sunday Times, 2011-02-25,36,44,10,
Opinium/, 2011-02-24,36,38,11,
YouGov/Sun, 2011-02-24,38,42,10,
YouGov/Sun, 2011-02-23,38,44,11,
YouGov/Sun, 2011-02-22,37,43,9,
YouGov/Sun, 2011-02-21,36,42,11,
ICM/Guardian, 2011-02-20,35,38,18,
YouGov/Sunday Times, 2011-02-18,37,41,10,
YouGov/Sun, 2011-02-17,36,42,10,
YouGov/Sun, 2011-02-16,35,45,10,
Opinium/, 2011-02-15,35,36,12,
YouGov/Sun, 2011-02-15,37,44,10,
YouGov/Sun, 2011-02-14,36,44,10,
Ipsos-MORI/Reuters, 2011-02-12,33,43,13,
YouGov/Sunday Times, 2011-02-11,35,45,9,
ComRes/Independent on Sunday (O), 2011-02-10,36,42,11,
Angus Reid/, 2011-02-10,34,40,11,
YouGov/Sun, 2011-02-10,35,44,10,
YouGov/Sun, 2011-02-09,36,43,10,
Opinium/, 2011-02-08,36,38,11,
YouGov/Sun, 2011-02-08,35,43,10,
YouGov/Sun, 2011-02-07,37,43,9,
Populus/Times, 2011-02-06,36,39,11,
YouGov/Sunday Times, 2011-02-04,36,42,10,
YouGov/Sun, 2011-02-03,37,44,9,
YouGov/Sun, 2011-02-02,36,44,9,
Opinium/, 2011-02-02,35,40,11,
YouGov/Sun, 2011-02-01,39,44,8,
YouGov/Sun, 2011-01-31,40,42,8,
ComRes/Independent, 2011-01-30,34,43,10,
Angus Reid/Sunday Express, 2011-01-28,32,43,11,
YouGov/Sunday Times, 2011-01-28,39,43,8,
YouGov/Sun, 2011-01-27,38,44,8,
YouGov/Sun, 2011-01-26,39,41,10,
Opinium/, 2011-01-25,34,38,12,
YouGov/Sun, 2011-01-25,37,43,10,
Angus Reid/, 2011-01-25,33,41,12,
YouGov/Sun, 2011-01-24,37,42,11,
Ipsos-MORI/Reuters, 2011-01-24,33,43,13,
ICM/Guardian, 2011-01-23,35,39,15,
YouGov/Sunday Times, 2011-01-21,39,43,9,
YouGov/Sun, 2011-01-20,36,43,10,
YouGov/Sun, 2011-01-19,37,42,9,
YouGov/Sun, 2011-01-18,39,44,8,
YouGov/Sun, 2011-01-17,37,42,9,
Opinium/, 2011-01-14,35,38,12,
YouGov/Sunday Times, 2011-01-14,37,43,9,
ComRes/Independent on Sunday (O), 2011-01-13,36,40,10,
YouGov/Sun, 2011-01-13,41,41,8,
YouGov/Sun, 2011-01-12,36,43,9,
YouGov/Sun, 2011-01-11,40,41,7,
YouGov/Sun, 2011-01-10,40,43,8,
ComRes/Independent, 2011-01-09,34,42,12,
YouGov/Sunday Times, 2011-01-07,38,41,10,
Angus Reid/, 2011-01-06,35,40,12,
YouGov/Sun, 2011-01-06,39,43,7,
Opinium/, 2011-01-05,37,39,11,
YouGov/Sun, 2011-01-05,40,41,10,
YouGov/Sun, 2011-01-04,40,42,8,
YouGov/Sun, 2010-12-23,39,41,9,
YouGov/Sun, 2010-12-22,41,42,8,
YouGov/Sun, 2010-12-21,40,42,9,
Angus Reid/, 2010-12-20,35,41,9,
YouGov/Sun, 2010-12-20,40,43,8,
YouGov/Sunday Times, 2010-12-19,39,42,9,
ICM/Guardian, 2010-12-19,37,39,13,
Opinium/, 2010-12-17,37,37,12,
ComRes/Independent on Sunday (O), 2010-12-16,37,39,11,
YouGov/Sun, 2010-12-16,41,41,9,
YouGov/Sun, 2010-12-15,42,40,8,
YouGov/Sun, 2010-12-14,39,42,9,
YouGov/Sun, 2010-12-13,41,42,9,
Ipsos-MORI/Reuters, 2010-12-12,38,39,11,
Opinium/, 2010-12-10,37,36,12,
YouGov/Sunday Times, 2010-12-10,40,42,9,
YouGov/Sun, 2010-12-09,41,39,11,
Opinium/, 2010-12-08,38,37,11,
YouGov/Sun, 2010-12-08,41,41,8,
YouGov/Sun, 2010-12-07,42,39,9,
YouGov/Sun, 2010-12-06,42,39,10,
YouGov/Sunday Times, 2010-12-03,41,39,10,
Opinium/, 2010-12-02,38,34,13,
YouGov/Sun, 2010-12-02,40,40,11,
YouGov/Sun, 2010-12-01,41,38,11,
YouGov/Sun, 2010-11-30,40,40,10,
Angus Reid/PoliticalBetting, 2010-11-30,35,40,13,
YouGov/Sun, 2010-11-29,40,40,10,
ComRes/Independent, 2010-11-29,36,40,12,
Opinium/, 2010-11-26,37,35,14,
YouGov/Sunday Times, 2010-11-26,40,40,9,
YouGov/Sun, 2010-11-25,42,39,10,
YouGov/Sun, 2010-11-24,40,40,9,
YouGov/Sun, 2010-11-23,42,40,10,
YouGov/Sun, 2010-11-22,41,38,11,
ICM/Guardian, 2010-11-21,36,38,14,
ComRes/Independent on Sunday (O), 2010-11-19,37,38,13,
YouGov/Sunday Times, 2010-11-19,40,38,11,
YouGov/Sun, 2010-11-18,40,40,11,
Opinium/, 2010-11-17,38,34,13,
YouGov/Sun, 2010-11-17,40,40,11,
YouGov/Sun, 2010-11-16,37,42,10,
YouGov/Sun, 2010-11-15,40,42,10,
Ipsos-MORI/Reuters, 2010-11-14,36,39,14,
YouGov/Sunday Times, 2010-11-12,39,41,10,
YouGov/Sun, 2010-11-11,40,40,10,
YouGov/Sun, 2010-11-10,42,37,11,
Opinium/, 2010-11-09,39,33,14,
YouGov/Sun, 2010-11-09,40,39,13,
YouGov/Sun, 2010-11-08,42,39,11,
YouGov/Sunday Times, 2010-11-05,40,39,12,
YouGov/Sun, 2010-11-04,40,39,11,
YouGov/Sun, 2010-11-03,40,40,9,
YouGov/Sun, 2010-11-02,41,40,11,
YouGov/Sun, 2010-11-01,41,39,11,
ComRes/Independent, 2010-10-30,35,37,16,
Opinium/, 2010-10-29,38,35,13,
YouGov/Sunday Times, 2010-10-29,42,37,13,
Angus Reid/, 2010-10-28,35,37,15,
YouGov/Sun, 2010-10-28,41,39,11,
YouGov/Sun, 2010-10-27,41,39,12,
YouGov/Sun, 2010-10-26,40,38,12,
YouGov/Sun, 2010-10-25,40,40,11,
Populus/Times, 2010-10-24,37,38,15,
ICM/Guardian, 2010-10-24,39,36,16,
YouGov/Sunday Times, 2010-10-22,41,40,10,
ICM/News of the World, 2010-10-22,40,36,16,
YouGov/Sun, 2010-10-21,41,40,10,
YouGov/Sun, 2010-10-20,41,39,11,
YouGov/Sun, 2010-10-19,42,39,11,
YouGov/Sun, 2010-10-18,41,39,12,
Ipsos-MORI/Reuters, 2010-10-17,39,36,14,
YouGov/Sunday Times, 2010-10-17,41,39,11,
ComRes/Independent on Sunday (O), 2010-10-15,40,34,14,
YouGov/Sun, 2010-10-14,42,38,12,
YouGov/Sun, 2010-10-13,41,40,11,
YouGov/Sun, 2010-10-12,43,36,12,
YouGov/Sun, 2010-10-11,42,38,12,
YouGov/Sunday Times, 2010-10-08,42,38,12,
YouGov/Sun, 2010-10-07,42,38,12,
ICM/Sunday Telegraph, 2010-10-07,38,34,18,
YouGov/Sun, 2010-10-06,42,40,11,
YouGov/Sun, 2010-10-05,43,39,11,
YouGov/Sun, 2010-10-04,41,39,12,
ComRes/Independent (O), 2010-10-01,39,36,15,
Angus Reid/Sunday Express, 2010-10-01,35,38,16,
BPIX/Mail on Sunday, 2010-10-01,41,37,13,
YouGov/Sunday Times, 2010-10-01,39,41,11,
YouGov/Sun, 2010-09-30,41,39,12,
YouGov/Sun, 2010-09-29,41,39,12,
ICM/Guardian, 2010-09-29,35,37,18,
YouGov/Sun, 2010-09-28,41,40,12,
YouGov/Sun, 2010-09-27,39,40,12,
YouGov/Sunday Times, 2010-09-24,39,38,15,
YouGov/Sun, 2010-09-23,41,37,13,
YouGov/Sun, 2010-09-22,43,36,14,
YouGov/Sun, 2010-09-21,39,39,13,
YouGov/Sun, 2010-09-20,42,38,11,
Opinium/, 2010-09-17,37,35,13,
YouGov/Sunday Times, 2010-09-17,41,39,13,
ComRes/Independent on Sunday (O), 2010-09-16,37,35,15,
YouGov/Sun, 2010-09-16,41,38,12,
YouGov/Sun, 2010-09-15,42,39,12,
YouGov/Sun, 2010-09-14,40,39,12,
YouGov/Sun, 2010-09-13,41,38,12,
Ipsos-MORI/Reuters, 2010-09-12,37,37,15,
Populus/Times, 2010-09-12,39,37,14,
YouGov/Sunday Times, 2010-09-10,42,38,14,
YouGov/Sun, 2010-09-09,42,37,14,
YouGov/Sun, 2010-09-08,43,38,12,
YouGov/Sun, 2010-09-07,42,38,13,
YouGov/Sun, 2010-09-06,42,37,13,
ComRes/Independent, 2010-09-05,38,34,18,
YouGov/Sunday Times, 2010-09-03,42,37,12,
YouGov/Sun, 2010-09-02,42,37,12,
YouGov/Sun, 2010-09-01,43,37,12,
YouGov/Sun, 2010-08-31,43,38,11,
YouGov/Sunday Times, 2010-08-27,41,37,13,
YouGov/Sun, 2010-08-26,42,37,12,
YouGov/Sun, 2010-08-25,42,37,12,
YouGov/Sun, 2010-08-24,41,38,13,
YouGov/Sun, 2010-08-23,41,39,12,
YouGov/Sunday Times, 2010-08-20,41,38,12,
YouGov/Sun, 2010-08-19,41,37,14,
YouGov/Sun, 2010-08-18,44,36,12,
YouGov/Sun, 2010-08-17,42,37,14,
YouGov/Sun, 2010-08-16,41,37,15,
ComRes/Mirror/GMTV, 2010-08-15,39,33,15,
ICM/Guardian, 2010-08-15,37,37,18,
Harris/Daily Mail, 2010-08-13,38,36,16,
Opinium/, 2010-08-13,39,30,16,
YouGov/Sunday Times, 2010-08-13,42,37,13,
YouGov/Sun, 2010-08-12,42,37,14,
YouGov/Sun, 2010-08-11,41,37,15,
YouGov/Sun, 2010-08-10,42,38,14,
YouGov/Sun, 2010-08-09,40,36,15,
ComRes/Independent, 2010-08-08,39,33,16,
YouGov/Sunday Times, 2010-08-06,42,36,13,
YouGov/Sun, 2010-08-05,44,36,13,
YouGov/Sun, 2010-08-04,42,36,13,
YouGov/Sun, 2010-08-03,41,36,13,
YouGov/Sun, 2010-08-02,42,38,12,
YouGov/Sunday Times, 2010-07-30,42,38,12,
YouGov/Sun, 2010-07-29,41,35,15,
YouGov/Sun, 2010-07-28,42,36,14,
YouGov/Sun, 2010-07-27,42,37,14,
YouGov/Sun, 2010-07-26,42,35,15,
ICM/Guardian, 2010-07-25,38,34,19,
Ipsos-MORI/Reuters, 2010-07-25,40,38,14,
YouGov/Sunday Times, 2010-07-23,41,36,14,
YouGov/Sun, 2010-07-22,43,35,15,
YouGov/Sun, 2010-07-21,44,35,13,
YouGov/Sun, 2010-07-20,43,35,14,
YouGov/Sun, 2010-07-19,42,35,15,
YouGov/Sunday Times, 2010-07-16,40,37,15,
YouGov/Sun, 2010-07-15,43,34,15,
YouGov/Sun, 2010-07-14,43,34,15,
YouGov/Sun, 2010-07-13,42,35,15,
YouGov/Sun, 2010-07-12,42,35,15,
Opinium/, 2010-07-09,38,34,16,
YouGov/Sunday Times, 2010-07-09,42,34,17,
YouGov/Sun, 2010-07-08,42,35,16,
YouGov/Sun, 2010-07-07,40,36,17,
YouGov/Sun, 2010-07-06,41,36,15,
YouGov/Sun, 2010-07-05,40,36,16,
Opinium/, 2010-07-02,37,33,18,
YouGov/Sunday Times, 2010-07-02,41,36,16,
YouGov/Sun, 2010-07-01,42,35,16,
YouGov/Sun, 2010-06-30,42,36,15,
YouGov/Sun, 2010-06-29,42,36,15,
YouGov/Sun, 2010-06-28,42,35,16,
ComRes/Independent, 2010-06-27,40,31,18,
YouGov/Sunday Times, 2010-06-25,43,36,16,
ICM/Sunday Telegraph, 2010-06-24,41,35,16,
YouGov/Sun, 2010-06-24,43,34,17,
Populus/Times, 2010-06-23,39,33,18,
YouGov/Sun, 2010-06-23,42,34,17,
YouGov/Sun, 2010-06-22,41,37,15,
YouGov/Sun, 2010-06-21,41,33,18,
Ipsos-MORI/Reuters, 2010-06-20,39,31,19,
ICM/Guardian, 2010-06-20,39,31,21,
Opinium/, 2010-06-18,40,31,19,
YouGov/Sunday Times, 2010-06-18,39,34,19,
ComRes/Independent on Sunday, 2010-06-17,36,30,23,
YouGov/Sunday Times, 2010-06-11,40,32,18,
BPIX/Mail on Sunday, 2010-06-11,39,32,19,
Harris/Metro, 2010-06-09,36,30,25,
Opinium/, 2010-06-04,42,28,19,
ComRes/Independent, 2010-05-31,37,33,21,
ICM/Guardian, 2010-05-23,39,32,21,
Opinium/, 2010-05-21,38,29,21,
YouGov/Sunday Times, 2010-05-21,39,32,21,
YouGov/Sunday Times, 2010-05-14,37,34,21,
ComRes/Independent on Sunday/S. Mirror, 2010-05-13,38,34,21,
ICM/Sunday Telegraph, 2010-05-13,38,33,21,
